epoch,lr,epoch_time_s,train_time_s,val_time_s,peak_gpu_mem_mb,peak_gpu_reserved_mb,train_loss,train_auc_mean,train_auc_abnormal,train_auc_acl,train_auc_meniscus,val_loss,val_auc_mean,val_auc_abnormal,val_auc_acl,val_auc_meniscus
1,0.0001,146.323,131.564,14.7592,2828.1,3088,0.774515,0.492893,0.470207,0.493246,0.515225,0.762802,0.613535,0.580956,0.589348,0.670303
2,9.99756e-05,147.407,132.546,14.8614,2827.72,3088,0.765744,0.509968,0.496519,0.501079,0.532308,0.765581,0.528911,0.530414,0.514272,0.542045
3,9.99023e-05,145.569,130.904,14.665,2827.6,3088,0.767294,0.495582,0.501618,0.47379,0.511338,0.764412,0.56706,0.575647,0.459851,0.665682
4,9.97803e-05,217.058,201.765,15.2934,2827.91,3088,0.766394,0.497938,0.510782,0.489884,0.493148,0.764465,0.513467,0.490268,0.422256,0.627879
5,9.96097e-05,143.761,129.184,14.5768,2828.85,3088,0.766027,0.475029,0.488647,0.477946,0.458493,0.765114,0.498275,0.432537,0.447668,0.614621
6,9.93906e-05,221.605,194.59,27.0152,2828.16,3088,0.767115,0.486925,0.521049,0.476431,0.463294,0.764751,0.418119,0.389405,0.39139,0.473561
